Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
micmac,United States of America,definitely endangered,8145,2.0,8145,True,
micmac,Canada,vulnerable,6850,1.0,6850,True,
migueleo,United States of America,extinct,0,5.0,0,True,
miji,India,definitely endangered,5000,2.0,5000,True,
miju,"China, India",vulnerable,6700,1.0,6700,True,
mikasuki,United States of America,vulnerable,500,1.0,500,True,
milang,India,definitely endangered,2000,2.0,2000,True,
miltu,Chad,critically endangered,272,4.0,272,True,
mindiri,Papua New Guinea,severely endangered,93,3.0,93,True,
mingrelian,Georgia,definitely endangered,350000,2.0,350000,True,
minhe monguor,China,definitely endangered,25000,2.0,25000,True,
minyong,India,vulnerable,40000,1.0,40000,True,
miqie,China,definitely endangered,10000,2.0,10000,True,
miraa,Brazil,critically endangered,0,4.0,0,True,
miraa,Colombia,severely endangered,1000,3.0,1000,True,
mirit tapuia,Brazil,critically endangered,0,4.0,0,True,
miriwoong,Australia,critically endangered,50,4.0,50,True,
misantla totonac,Mexico,critically endangered,325,4.0,325,True,
mising,India,definitely endangered,550000,2.0,550000,True,
miskito,Nicaragua,vulnerable,100000,1.0,100000,True,
miskito,Honduras,vulnerable,25000,1.0,25000,True,
mixtec of san miguel piedras,Mexico,severely endangered,243,3.0,243,True,
mixtec of san pedro tida,Mexico,severely endangered,384,3.0,384,True,
mixtec of santa cruz itundujia,Mexico,definitely endangered,851,2.0,851,True,
mixtec of santa ins de zaragoza,Mexico,definitely endangered,775,2.0,775,True,
mixtec of tlaltempan,Mexico,definitely endangered,19,2.0,19,True,
mixtec of villa de tututepec,Mexico,definitely endangered,1019,2.0,1019,True,
mixtec of zapotitln,Mexico,severely endangered,396,3.0,396,True,
mixtec of the pueblaoaxaca border,Mexico,definitely endangered,3791,2.0,3791,True,
mixtec of the central ravine,Mexico,definitely endangered,1878,2.0,1878,True,
mixtec of the northeast lowlands,Mexico,severely endangered,220,3.0,220,True,
mixtec of the southwest of puebla,Mexico,definitely endangered,1074,2.0,1074,True,
miyako,Japan,definitely endangered,1000,2.0,1000,True,
mizo,India,vulnerable,529000,1.0,529000,True,
mlabri,"Lao People's Democratic Republic, Thailand",definitely endangered,149,2.0,149,True,
mlahso,Syrian Arab Republic,extinct,0,5.0,0,True,
mlahso,Turkey,extinct,0,5.0,0,True,
mlomp,Senegal,critically endangered,500,4.0,500,True,
moang,China,definitely endangered,5000,2.0,5000,True,
moang,Viet Nam,definitely endangered,5000,2.0,5000,True,
moda,Sudan,critically endangered,600,4.0,600,True,
mopeng,Sierra Leone,extinct,0,5.0,0,True,
mochica,Peru,extinct,0,5.0,0,True,
mocov,Argentina,definitely endangered,2000,2.0,2000,True,
moere,Papua New Guinea,severely endangered,56,3.0,56,True,
moghol,Afghanistan,critically endangered,200,4.0,200,True,
mohave,United States of America,severely endangered,100,3.0,100,True,
mohawk,United States of America,definitely endangered,3000,2.0,3000,True,
mohawk,Canada,definitely endangered,1000,2.0,1000,True,
mojo,Bolivia (Plurinational State of),definitely endangered,10000,2.0,10000,True,
mok,"Myanmar, Thailand",definitely endangered,30000,2.0,30000,True,
mok,China,definitely endangered,700,2.0,700,True,
mok,Lao People's Democratic Republic,definitely endangered,1000,2.0,1000,True,
mokilese,Micronesia (Federated States of),critically endangered,1050,4.0,1050,True,
moklen,"Myanmar, Thailand",definitely endangered,6000,2.0,6000,True,
moksela,Indonesia,extinct,0,5.0,0,True,
moksha,Russian Federation,definitely endangered,200000,2.0,200000,True,
molala,United States of America,extinct,0,5.0,0,True,
molise croatian,Italy,severely endangered,5000,3.0,5000,True,
molo,Sudan,critically endangered,100,4.0,100,True,
momuna,Indonesia,vulnerable,2000,1.0,2000,True,
mon,"Myanmar, Thailand",vulnerable,800000,1.0,800000,True,
mono,Cameroon,critically endangered,300,4.0,300,True,
mono,United States of America,critically endangered,40,4.0,40,True,
montana salish,United States of America,critically endangered,60,4.0,60,True,
moose cree,Canada,vulnerable,405,1.0,405,True,
mopn,Belize,severely endangered,8980,3.0,8980,True,
mopn,Guatemala,severely endangered,2455,3.0,2455,True,
mor,Indonesia,severely endangered,25,3.0,25,True,
moraori,Indonesia,severely endangered,50,3.0,50,True,
mores,Vanuatu,severely endangered,75,3.0,75,True,
moro,Sudan,definitely endangered,30000,2.0,30000,True,
moroccan judeoarabic,Israel,definitely endangered,300000,2.0,300000,True,
moroccan judeoarabic,Morocco,severely endangered,5000,3.0,5000,True,
morokodo,Sudan,severely endangered,3400,3.0,3400,True,
mortlockese,Micronesia (Federated States of),definitely endangered,5904,2.0,5904,True,
mor,Bolivia (Plurinational State of),critically endangered,76,4.0,76,True,
moselle franconian,"Germany, Belgium, France, Luxembourg",vulnerable,390000,1.0,390000,True,
mosetn,Bolivia (Plurinational State of),severely endangered,585,3.0,585,True,
mosimo,Papua New Guinea,severely endangered,58,3.0,58,True,
mosquitia creole,Nicaragua,definitely endangered,1000,2.0,1000,True,
motocintlec,Mexico,critically endangered,141,4.0,141,True,
motuo menba,"China, India",definitely endangered,9000,2.0,9000,True,
mountain guarijo,Mexico,vulnerable,696,1.0,696,True,
movima,Bolivia (Plurinational State of),severely endangered,1452,3.0,1452,True,
moyon,India,definitely endangered,3700,2.0,3700,True,
mozarabic,Spain,extinct,0,5.0,0,True,
mpi,Thailand,definitely endangered,2000,2.0,2000,True,
mra,"China, India",critically endangered,350,4.0,350,True,
mru,Myanmar,severely endangered,40000,3.0,40000,True,
mt iraya agta,Philippines,definitely endangered,150,2.0,150,True,
muda,China,vulnerable,2000,1.0,2000,True,
mudburra,Australia,severely endangered,48,3.0,48,True,
muinane,Colombia,definitely endangered,1000,2.0,1000,True,
muji,China,definitely endangered,36500,2.0,36500,True,
mulaha,Papua New Guinea,extinct,0,5.0,0,True,
mulam,China,vulnerable,30000,1.0,30000,True,
mulao,China,severely endangered,100,3.0,100,True,
mundari,India,vulnerable,750000,1.0,750000,True,
munduruk,Brazil,vulnerable,8000,1.0,8000,True,
munichi,Peru,critically endangered,8,4.0,8,True,
munji,Afghanistan,severely endangered,2000,3.0,2000,True,
munsee,Canada,critically endangered,10,4.0,10,True,
munsee,United States of America,critically endangered,1000,4.0,1000,True,
muot,India,critically endangered,10000,4.0,10000,True,
murik,Papua New Guinea,vulnerable,1256,1.0,1256,True,
mursi,Ethiopia,vulnerable,3278,1.0,3278,True,
musan,Papua New Guinea,severely endangered,75,3.0,75,True,
musom,Papua New Guinea,definitely endangered,219,2.0,219,True,
mussauemira,Papua New Guinea,definitely endangered,3651,2.0,3651,True,
muya,China,vulnerable,12000,1.0,12000,True,
mvanip,Nigeria,critically endangered,100,4.0,100,True,
mwatebu,Papua New Guinea,definitely endangered,166,2.0,166,True,
mwesen,Vanuatu,critically endangered,15,4.0,15,True,
myky,Brazil,vulnerable,350,1.0,350,True,
mzieme,India,vulnerable,29000,1.0,29000,True,
mku,Brazil,extinct,0,5.0,0,True,
mcheno,Italy,definitely endangered,1000,2.0,1000,True,
mra,Brazil,extinct,0,5.0,0,True,
na,"China, India",critically endangered,350,4.0,350,True,
naati,Vanuatu,critically endangered,10,4.0,10,True,
nachiring,Nepal,severely endangered,3553,3.0,3553,True,
nadb,Brazil,definitely endangered,350,2.0,350,True,
nafi,Papua New Guinea,severely endangered,100,3.0,100,True,
nafusi,Libyan Arab Jamahiriya,severely endangered,240000,3.0,240000,True,
nagumi,Cameroon,extinct,0,5.0,0,True,
nahali,India,definitely endangered,15000,2.0,15000,True,
nahukwa,Brazil,definitely endangered,124,2.0,124,True,
naiki,India,critically endangered,10000,4.0,10000,True,
nakaela,Indonesia,extinct,0,5.0,0,True,
nakkara,Australia,severely endangered,50,3.0,50,True,
nalu,Guinea,definitely endangered,13000,2.0,13000,True,
naluo,China,vulnerable,15000,1.0,15000,True,
naman,Vanuatu,critically endangered,5,4.0,5,True,
nambiquara do norte,Brazil,vulnerable,323,1.0,323,True,
nambiquara do sul,Brazil,vulnerable,721,1.0,721,True,
namonuito,Micronesia (Federated States of),severely endangered,944,3.0,944,True,
namuyi,China,vulnerable,5000,1.0,5000,True,
nanay,"China, Russian Federation",severely endangered,3000,3.0,3000,True,
nanti,Peru,vulnerable,450,1.0,450,True,
napore,Uganda,extinct,0,5.0,0,True,
napu,Indonesia,vulnerable,4000,1.0,4000,True,
narau,Indonesia,severely endangered,85,3.0,85,True,
narim,Sudan,definitely endangered,3623,2.0,3623,True,
narpa,Nepal,definitely endangered,533,2.0,533,True,
nasarian,Vanuatu,critically endangered,5,4.0,5,True,
naskapi,Canada,vulnerable,525,1.0,525,True,
natanzi,Iran (Islamic Republic of),severely endangered,7000,3.0,7000,True,
nataoran,China,critically endangered,20,4.0,20,True,
natchez,United States of America,extinct,0,5.0,0,True,
natsilingmiutut,Canada,vulnerable,1455,1.0,1455,True,
naueti,Timor-Leste,vulnerable,1000,1.0,1000,True,
nauna,Papua New Guinea,vulnerable,130,1.0,130,True,
nauruan,Nauru,severely endangered,6000,3.0,6000,True,
navajo,United States of America,vulnerable,120000,1.0,120000,True,
navwien,Vanuatu,critically endangered,5,4.0,5,True,
nayi,Ethiopia,vulnerable,3656,1.0,3656,True,
nayini,Iran (Islamic Republic of),severely endangered,7000,3.0,7000,True,
ndai,Cameroon,critically endangered,5,4.0,5,True,
nding,Sudan,critically endangered,3513,4.0,3513,True,
ndunda,Nigeria,severely endangered,400,3.0,400,True,
negidal,Russian Federation,critically endangered,147,4.0,147,True,
neku,New Caledonia (France),severely endangered,221,3.0,221,True,
nemadi,Mauritania,critically endangered,100,4.0,100,True,
nemi,New Caledonia (France),definitely endangered,325,2.0,325,True,
new river shasta,United States of America,extinct,0,5.0,0,True,
newar,Nepal,definitely endangered,825458,2.0,825458,True,
nez perce,United States of America,critically endangered,20,4.0,20,True,
ngaanyatjarra,Australia,vulnerable,700,1.0,700,True,
ngaatjatjara,Australia,severely endangered,12,3.0,12,True,
ngalakan,Australia,critically endangered,5,4.0,5,True,
ngaliwuru,Australia,critically endangered,12,4.0,12,True,
ngalkbun,Australia,severely endangered,30,3.0,30,True,
nganasan,Russian Federation,severely endangered,505,3.0,505,True,
ngandi,Australia,critically endangered,9,4.0,9,True,
ngangikurunggurr,Australia,severely endangered,60,3.0,60,True,
ngardi,Australia,critically endangered,10,4.0,10,True,
ngarinman,Australia,severely endangered,50,3.0,50,True,
ngarinyin,Australia,definitely endangered,90,2.0,90,True,
ngarla,Australia,extinct,0,5.0,0,True,
ngarluma,Australia,critically endangered,9,4.0,9,True,
ngatikese mens creole,Micronesia (Federated States of),definitely endangered,700,2.0,700,True,
ngbinda,Democratic Republic of the Congo,critically endangered,10,4.0,10,True,
ngile,Sudan,severely endangered,38000,3.0,38000,True,
ngombe,Central African Republic,definitely endangered,1450,2.0,1450,True,
ngong,Cameroon,extinct,0,5.0,0,True,
nguon,Viet Nam,vulnerable,2000,1.0,2000,True,
ngwaba,Nigeria,severely endangered,10000,3.0,10000,True,
ngbere,Panama,vulnerable,169130,1.0,169130,True,
ngbere,Costa Rica,definitely endangered,2041,2.0,2041,True,
nheengatu  yeral,Brazil,severely endangered,6000,3.0,6000,True,
nheengatu  yeral,Venezuela (Bolivarian Republic of),severely endangered,2000,3.0,2000,True,
nihali,India,critically endangered,2000,4.0,2000,True,
nila,Indonesia,definitely endangered,1800,2.0,1800,True,
ninam,Brazil,vulnerable,466,1.0,466,True,
ninam,Venezuela (Bolivarian Republic of),vulnerable,100,1.0,100,True,
ningalami,Afghanistan,severely endangered,200,3.0,200,True,
nisenan,United States of America,extinct,0,5.0,0,True,
nisgaa,Canada,severely endangered,265,3.0,265,True,
nisvai,Vanuatu,critically endangered,20,4.0,20,True,
niuean,Niue,definitely endangered,14000,2.0,14000,True,
nivacl,Paraguay,vulnerable,1000,1.0,1000,True,
nivat,Vanuatu,critically endangered,5,4.0,5,True,
niviar,Vanuatu,critically endangered,5,4.0,5,True,
nivkh,Russian Federation,severely endangered,688,3.0,688,True,
njalgulgule,Sudan,severely endangered,900,3.0,900,True,
njerep,Cameroon,critically endangered,4,4.0,4,True,
nocte,India,vulnerable,33000,1.0,33000,True,
nogay,Russian Federation,definitely endangered,90020,2.0,90020,True,
nogay,Ukraine,severely endangered,1000,3.0,1000,True,
nogay,Romania,severely endangered,1000,3.0,1000,True,
nomatsiguenga,Peru,severely endangered,4500,3.0,4500,True,
nonuya,Colombia,critically endangered,1000,4.0,1000,True,
nooksack,United States of America,extinct,0,5.0,0,True,
noon,Senegal,vulnerable,10925,1.0,10925,True,
nootka,Canada,severely endangered,185,3.0,185,True,
norfolkpitcairn,Norfolk Island (Australia),definitely endangered,580,2.0,580,True,
norfolkpitcairn,Pitcairn  (U.K.),vulnerable,50,1.0,50,True,
norman,France,severely endangered,1000,3.0,1000,True,
norn,United Kingdom of Great Britain and Northern Ireland,extinct,0,5.0,0,True,
north alaskan inupiaq,United States of America,severely endangered,2144,3.0,2144,True,
north alaskan inupiaq,Canada,severely endangered,240,3.0,240,True,
north frisian,Germany,severely endangered,10000,3.0,10000,True,
north greenlandic,Greenland (Kingdom of Denmark),definitely endangered,1000,2.0,1000,True,
north saami,"Finland, Norway, Russian Federation, Sweden",definitely endangered,30000,2.0,30000,True,
north slavey,Canada,definitely endangered,720,2.0,720,True,
northeastern pomo,United States of America,extinct,0,5.0,0,True,
northern algonquin,Canada,vulnerable,1180,1.0,1180,True,
northern alta,Philippines,severely endangered,200,3.0,200,True,
northern altay,Russian Federation,severely endangered,1000,3.0,1000,True,
northern cuicatec,Mexico,vulnerable,1503,1.0,1503,True,
northern east cree,Canada,vulnerable,6870,1.0,6870,True,
northern haida,"Canada, United States of America",critically endangered,1000,4.0,1000,True,
northern khanty,Russian Federation,definitely endangered,10000,2.0,10000,True,
northern mansi,Russian Federation,severely endangered,2746,3.0,2746,True,
northern paiute,United States of America,definitely endangered,400,2.0,400,True,
northern pame,Mexico,definitely endangered,337,2.0,337,True,
northern pomo,United States of America,critically endangered,3,4.0,3,True,
northern popoloc,Mexico,vulnerable,8597,1.0,8597,True,
northern selkup,Russian Federation,severely endangered,600,3.0,600,True,
northern sierra miwok,United States of America,critically endangered,6,4.0,6,True,
northern straits salish,United States of America,critically endangered,65,4.0,65,True,
northern tepehun,Mexico,definitely endangered,6802,2.0,6802,True,
northern tlapanec,Mexico,vulnerable,4771,1.0,4771,True,
northern totonac,Mexico,critically endangered,11529,4.0,11529,True,
northern tujia,China,severely endangered,60000,3.0,60000,True,
northern tutchone,Canada,definitely endangered,115,2.0,115,True,
northwestern ojibwe,Canada,vulnerable,3465,1.0,3465,True,
northwestern otom,Mexico,vulnerable,1000,1.0,1000,True,
northwestern tarahumara,Mexico,vulnerable,10031,1.0,10031,True,
northwestern tlapanec,Mexico,vulnerable,8409,1.0,8409,True,
noy,Chad,critically endangered,36,4.0,36,True,
nruanghmei,India,vulnerable,61000,1.0,61000,True,
nubaca,Cameroon,severely endangered,800,3.0,800,True,
nukak,Colombia,definitely endangered,1000,2.0,1000,True,
nukin,Brazil,extinct,0,5.0,0,True,
nukuoro,Micronesia (Federated States of),definitely endangered,860,2.0,860,True,
numao bunu,China,definitely endangered,1500,2.0,1500,True,
numbani,Papua New Guinea,vulnerable,200,1.0,200,True,
nunatsiavummiutut,Canada,definitely endangered,575,2.0,575,True,
nunavimmiutitut,Canada,vulnerable,9105,1.0,9105,True,
nung ven,Viet Nam,vulnerable,200,1.0,200,True,
nunggubuyu,Australia,severely endangered,44,3.0,44,True,
nupbikha,Bhutan,vulnerable,0,1.0,0,True,
nupri,Nepal,definitely endangered,3776,2.0,3776,True,
nusa laut,Indonesia,critically endangered,10,4.0,10,True,
nyah kur,Thailand,definitely endangered,10000,2.0,10000,True,
nyamal,Australia,severely endangered,20,3.0,20,True,
nyangi,Uganda,extinct,0,5.0,0,True,
nyangumarta,Australia,vulnerable,250,1.0,250,True,
nyenkha,Bhutan,vulnerable,10000,1.0,10000,True,
nyikina,Australia,severely endangered,20,3.0,20,True,
nyishangba,Nepal,definitely endangered,2000,2.0,2000,True,
nyishi,India,vulnerable,170000,1.0,170000,True,
nyoe,Thailand,definitely endangered,15000,2.0,15000,True,
nuu,South Africa,critically endangered,8,4.0,8,True,
oodham,United States of America,definitely endangered,15000,2.0,15000,True,
oodham,Mexico,definitely endangered,94,2.0,94,True,
obispeo,United States of America,extinct,0,5.0,0,True,
obokuitai,Indonesia,vulnerable,120,1.0,120,True,
ocaina,Peru,critically endangered,150,4.0,150,True,
ocaina,Colombia,severely endangered,126,3.0,126,True,
ocopetatillo mazatec,Mexico,vulnerable,757,1.0,757,True,
ocoyoacac otom,Mexico,severely endangered,609,3.0,609,True,
odut,Nigeria,extinct,0,5.0,0,True,
ofay,Brazil,critically endangered,12,4.0,12,True,
oirata,Indonesia,definitely endangered,1221,2.0,1221,True,
ojicree,Canada,vulnerable,6110,1.0,6110,True,
ojibwe,United States of America,severely endangered,8000,3.0,8000,True,
okanagan,"Canada, United States of America",definitely endangered,130,2.0,130,True,
okinawan,Japan,definitely endangered,1000,2.0,1000,True,
old prussian,Russian Federation,extinct,0,5.0,0,True,
old sirenik,Russian Federation,extinct,0,5.0,0,True,
olonetsian,"Finland, Russian Federation",definitely endangered,25000,2.0,25000,True,
olrat,Vanuatu,critically endangered,5,4.0,5,True,
olultecan,Mexico,severely endangered,60,3.0,60,True,
omagua,Peru,critically endangered,100,4.0,100,True,
omagua,Brazil,critically endangered,0,4.0,0,True,
omahaponca,United States of America,critically endangered,50,4.0,50,True,
omotik,Kenya,critically endangered,50,4.0,50,True,
ona,Argentina,extinct,0,5.0,0,True,
oneida,United States of America,critically endangered,10,4.0,10,True,
oneida,"Canada, United States of America",critically endangered,1000,4.0,1000,True,
ongamo,Kenya,critically endangered,200,4.0,200,True,
onge,India,critically endangered,50,4.0,50,True,
ongkor solon,China,extinct,0,5.0,0,True,
ongota,Ethiopia,critically endangered,8,4.0,8,True,
onin,Indonesia,vulnerable,500,1.0,500,True,
onjab,Papua New Guinea,vulnerable,160,1.0,160,True,
onondaga,United States of America,critically endangered,10,4.0,10,True,
onondaga,"Canada, United States of America",critically endangered,1000,4.0,1000,True,
oponcarare,Colombia,extinct,0,5.0,0,True,
opuuo,Ethiopia,critically endangered,307,4.0,307,True,
orang hulu,Malaysia,definitely endangered,10000,2.0,10000,True,
orang kanaq,Malaysia,extinct,0,5.0,0,True,
orang seletar,Malaysia,severely endangered,1500,3.0,1500,True,
ordos,China,definitely endangered,100000,2.0,100000,True,
orejn,Peru,severely endangered,200,3.0,200,True,
ormu,Indonesia,vulnerable,500,1.0,500,True,
ormuri,"Pakistan, Afghanistan",definitely endangered,1000,2.0,1000,True,
oro win,Brazil,critically endangered,5,4.0,5,True,
oroch,Russian Federation,critically endangered,100,4.0,100,True,
oroha,Solomon Islands,severely endangered,100,3.0,100,True,
orok,Russian Federation,critically endangered,64,4.0,64,True,
orowe,New Caledonia (France),definitely endangered,587,2.0,587,True,
osage,United States of America,critically endangered,10,4.0,10,True,
ossete,"Georgia, Russian Federation",vulnerable,550000,1.0,550000,True,
otoro,Sudan,severely endangered,10000,3.0,10000,True,
ottawa,"Canada, United States of America",severely endangered,2000,3.0,2000,True,
ottawa,United States of America,critically endangered,459,4.0,459,True,
ouma,Papua New Guinea,critically endangered,4,4.0,4,True,
oyda,Ethiopia,vulnerable,16597,1.0,16597,True,
oyrat,"China, Kyrgyzstan, Mongolia",definitely endangered,280000,2.0,280000,True,
ozomatln totonac,Mexico,critically endangered,1276,4.0,1276,True,
paafang,Micronesia (Federated States of),severely endangered,1318,3.0,1318,True,
paakantyi,Australia,critically endangered,4,4.0,4,True,
pacahuara,Bolivia (Plurinational State of),critically endangered,18,4.0,18,True,
pacific gulf yupik,United States of America,severely endangered,200,3.0,200,True,
padam,India,vulnerable,20000,1.0,20000,True,
padoe,Indonesia,vulnerable,5000,1.0,5000,True,
padri,India,vulnerable,1000,1.0,1000,True,
paipai,Mexico,severely endangered,226,3.0,226,True,
paite,India,vulnerable,50000,1.0,50000,True,
paiter,Brazil,vulnerable,1000,1.0,1000,True,
paiwan,China,vulnerable,15000,1.0,15000,True,
pakan,China,definitely endangered,2700,2.0,2700,True,
palaung,Myanmar,severely endangered,1000,3.0,1000,True,
pale,Myanmar,severely endangered,1000,3.0,1000,True,
palenque creole,Colombia,definitely endangered,1500,2.0,1500,True,
palikur,Brazil,vulnerable,1300,1.0,1300,True,
palikur,French Guiana (France),severely endangered,500,3.0,500,True,
paloor,Senegal,vulnerable,9680,1.0,9680,True,
palue,Indonesia,definitely endangered,3000,2.0,3000,True,
palumata,Indonesia,extinct,0,5.0,0,True,
pana,Burkina Faso,definitely endangered,7800,2.0,7800,True,
panamahka,Nicaragua,vulnerable,9000,1.0,9000,True,
panamanian creole,Panama,definitely endangered,1000,2.0,1000,True,
panamint,United States of America,critically endangered,20,4.0,20,True,
panare,Venezuela (Bolivarian Republic of),vulnerable,3000,1.0,3000,True,
panar,Brazil,vulnerable,306,1.0,306,True,
panasuan,Indonesia,definitely endangered,800,2.0,800,True,
pangvali,India,critically endangered,16285,4.0,16285,True,
panobo,Peru,extinct,0,5.0,0,True,
papantla totonac,Mexico,definitely endangered,49748,2.0,49748,True,
papapana,Papua New Guinea,definitely endangered,150,2.0,150,True,
papi,Papua New Guinea,severely endangered,75,3.0,75,True,
papora,China,extinct,0,5.0,0,True,
parachi,Afghanistan,definitely endangered,6000,2.0,6000,True,
pareci,Brazil,definitely endangered,1000,2.0,1000,True,
parintintin,Brazil,critically endangered,10,4.0,10,True,
parji,India,critically endangered,51216,4.0,51216,True,
parya,"Uzbekistan, Tajikistan, Afghanistan",severely endangered,7000,3.0,7000,True,
pashayi,Afghanistan,vulnerable,1000,1.0,1000,True,
pasi,India,definitely endangered,1000,2.0,1000,True,
pasing,Lao People's Democratic Republic,definitely endangered,1732,2.0,1732,True,
patamona,Guyana,vulnerable,5000,1.0,5000,True,
patamona,Brazil,vulnerable,87,1.0,87,True,
patani malay,Thailand,vulnerable,40000,1.0,40000,True,
patlachicontla totonac,Mexico,severely endangered,8590,3.0,8590,True,
patua,China,critically endangered,50,4.0,50,True,
patwin,United States of America,critically endangered,1,4.0,1,True,
paulohi,Indonesia,critically endangered,50,4.0,50,True,
paumar,Brazil,severely endangered,290,3.0,290,True,
paunaca,Bolivia (Plurinational State of),critically endangered,5,4.0,5,True,
pauwi,Indonesia,vulnerable,100,1.0,100,True,
pawnee,United States of America,critically endangered,10,4.0,10,True,
pazeh,China,critically endangered,1,4.0,1,True,
pear,Cambodia,severely endangered,250,3.0,250,True,
pech,Honduras,severely endangered,900,3.0,900,True,
peco creole,Indonesia,critically endangered,1000,4.0,1000,True,
pemon,"Guyana, Venezuela (Bolivarian Republic of)",vulnerable,20000,1.0,20000,True,
pemon,Brazil,vulnerable,500,1.0,500,True,
pendau,Indonesia,vulnerable,3200,1.0,3200,True,
pengo,India,critically endangered,1254,4.0,1254,True,
penrhyn,Cook Islands,severely endangered,600,3.0,600,True,
pentlatch,Canada,extinct,0,5.0,0,True,
permyak,Russian Federation,definitely endangered,94328,2.0,94328,True,
phalok,Thailand,extinct,0,5.0,0,True,
phalura,Pakistan,definitely endangered,8600,2.0,8600,True,
phnong,Cambodia,severely endangered,1000,3.0,1000,True,
phom,India,vulnerable,123000,1.0,123000,True,
phong,Lao People's Democratic Republic,definitely endangered,300,2.0,300,True,
phula,China,vulnerable,250000,1.0,250000,True,
phula,Viet Nam,definitely endangered,9046,2.0,9046,True,
phunoi,Lao People's Democratic Republic,vulnerable,37311,1.0,37311,True,
phurhepecha,Mexico,vulnerable,102988,1.0,102988,True,
phuthi,Lesotho,definitely endangered,43000,2.0,43000,True,
piame,Papua New Guinea,severely endangered,100,3.0,100,True,
piapoko,"Colombia, Venezuela (Bolivarian Republic of)",definitely endangered,4500,2.0,4500,True,
piaroa,Venezuela (Bolivarian Republic of),vulnerable,11000,1.0,11000,True,
piaroa,Colombia,definitely endangered,800,2.0,800,True,
picard,"Belgium, France",severely endangered,700000,3.0,700000,True,
picuris,United States of America,vulnerable,225,1.0,225,True,
piedmontese,Italy,definitely endangered,2000000,2.0,2000000,True,
pijao,Colombia,extinct,0,5.0,0,True,
pije,New Caledonia (France),severely endangered,161,3.0,161,True,
pilag,Argentina,vulnerable,3000,1.0,3000,True,
pingelapese,Micronesia (Federated States of),severely endangered,2500,3.0,2500,True,
pintupi,Australia,vulnerable,600,1.0,600,True,
pipil,El Salvador,critically endangered,200,4.0,200,True,
pirah,Brazil,vulnerable,389,1.0,389,True,
piratapuya,Brazil,severely endangered,700,3.0,700,True,
piratapuya,Colombia,critically endangered,600,4.0,600,True,
piru,Indonesia,extinct,0,5.0,0,True,
pisaflores tepehua,Mexico,vulnerable,2578,1.0,2578,True,
pisamira,Colombia,critically endangered,25,4.0,25,True,
pite saami,"Norway, Sweden",critically endangered,20,4.0,20,True,
pitjantjatjara,Australia,vulnerable,3000,1.0,3000,True,
piu,Papua New Guinea,definitely endangered,130,2.0,130,True,
plains cree,Canada,vulnerable,20933,1.0,20933,True,
plautdietsch,Ukraine,definitely endangered,300000,2.0,300000,True,
pochuri,India,vulnerable,17000,1.0,17000,True,
poitevinsaintongeais,France,severely endangered,1000,3.0,1000,True,
polabian,Germany,extinct,0,5.0,0,True,
polci cluster,Nigeria,definitely endangered,22000,2.0,22000,True,
polesian,"Belarus, Poland, Ukraine",vulnerable,800000,1.0,800000,True,
polonomombauk,Vanuatu,definitely endangered,120,2.0,120,True,
pong,Lao People's Democratic Republic,definitely endangered,1500,2.0,1500,True,
pontic greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine",definitely endangered,300000,2.0,300000,True,
poqomam,Guatemala,definitely endangered,11273,2.0,11273,True,
poqomchi,Guatemala,vulnerable,92941,1.0,92941,True,
potawatomi,United States of America,critically endangered,50,4.0,50,True,
potawatomi,Canada,critically endangered,1000,4.0,1000,True,
poyanawa,Brazil,critically endangered,2,4.0,2,True,
prasun,Afghanistan,definitely endangered,2000,2.0,2000,True,
provenal,France,severely endangered,150000,3.0,150000,True,
pu,India,critically endangered,5000,4.0,5000,True,
puari,Papua New Guinea,critically endangered,10,4.0,10,True,
puebla mazatec,Mexico,vulnerable,4660,1.0,4660,True,
puinave,"Colombia, Venezuela (Bolivarian Republic of)",definitely endangered,7377,2.0,7377,True,
pukapukan,Cook Islands,definitely endangered,840,2.0,840,True,
pukoby,Brazil,vulnerable,494,1.0,494,True,
pukur,Guinea,definitely endangered,3000,2.0,3000,True,
puluwat,Micronesia (Federated States of),severely endangered,1364,3.0,1364,True,
puma,Nepal,severely endangered,4310,3.0,4310,True,
pume,Venezuela (Bolivarian Republic of),definitely endangered,5000,2.0,5000,True,
pumpokol,Russian Federation,extinct,0,5.0,0,True,
punan batu,Malaysia,critically endangered,30,4.0,30,True,
pupeo,China,definitely endangered,400,2.0,400,True,
purik,"India, Pakistan",vulnerable,1000,1.0,1000,True,
purisimeo,United States of America,extinct,0,5.0,0,True,
purubor,Brazil,critically endangered,2,4.0,2,True,
purum,India,critically endangered,503,4.0,503,True,
pwaami,New Caledonia (France),definitely endangered,219,2.0,219,True,
pwapwa,New Caledonia (France),severely endangered,80,3.0,80,True,
pyu,Indonesia,severely endangered,100,3.0,100,True,
pyu,Myanmar,extinct,0,5.0,0,True,
pyuma,China,vulnerable,1500,1.0,1500,True,
pez,Colombia,definitely endangered,80000,2.0,80000,True,
pmono,Venezuela (Bolivarian Republic of),critically endangered,1,4.0,1,True,
qaanjobal,Guatemala,vulnerable,139830,1.0,139830,True,
qeqchi,Guatemala,vulnerable,716101,1.0,716101,True,
qeqchi,Belize,vulnerable,12366,1.0,12366,True,
