Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level
Kaniet,Papua New Guinea,extinct,0,5
Kansa,United States of America,extinct,0,5
Karaim,Ukraine,extinct,0,5
Karami,Papua New Guinea,extinct,0,5
Karelian,Russian Federation,extinct,0,5
Katabaga,Philippines,extinct,0,5
Kato,United States of America,extinct,0,5
Kayeli,Indonesia,extinct,0,5
Kazukuru,Solomon Islands,extinct,0,5
Kede,Angola,extinct,0,5
Kemi Saami,Finland,extinct,0,5
Kenaboi,Malaysia,extinct,0,5
Kerek,Russian Federation,extinct,0,5
Ketangalan,China,extinct,0,5
Khaccaḍ Bhoṭe,Nepal,definitely endangered,0,2
Kilit,Azerbaijan,extinct,0,5
Kinare,Kenya,extinct,0,5
Klamath-Modoc,United States of America,extinct,0,5
Konomihu,United States of America,extinct,0,5
Kore,Kenya,extinct,0,5
Kott,Russian Federation,extinct,0,5
Krenjê,Brazil,extinct,0,5
Krevin,Latvia,extinct,0,5
Kulun,China,extinct,0,5
Kurtjar,Australia,extinct,0,5
Kw'adza,United Republic of Tanzania,extinct,0,5
Kwadi,Angola,extinct,0,5
Kwisi,Angola,extinct,0,5
Kyakala,China,extinct,0,5
Laghu,Solomon Islands,extinct,0,5
Langthang Tibetan,Nepal,definitely endangered,0,2
Lenca,"El Salvador, Honduras",extinct,0,5
Li-Ngbee,Democratic Republic of the Congo,extinct,0,5
Liliali,Indonesia,extinct,0,5
Lipan,United States of America,extinct,0,5
Lishan Didan,Iran (Islamic Republic of),extinct,0,5
Lishana Deni,Iraq,extinct,0,5
Lishanid Noshan,Iraq,extinct,0,5
Loke Tibetan,Nepal,definitely endangered,0,2
Lorkoti,Kenya,extinct,0,5
Lower Chehalis,United States of America,extinct,0,5
Mahigi,Papua New Guinea,extinct,0,5
Máku,Brazil,extinct,0,5
Malin,Myanmar,extinct,0,5
Mapia,Indonesia,extinct,0,5
Maragus,Vanuatu,extinct,0,5
Marrgu,Australia,extinct,0,5
Matagalpa,Nicaragua,extinct,0,5
Mator,Russian Federation,extinct,0,5
Mattole,United States of America,extinct,0,5
Miami-Illinois,United States of America,extinct,0,5
Migueleño,United States of America,extinct,0,5
Miraña,Brazil,critically endangered,0,4
Mirití Tapuia,Brazil,critically endangered,0,4
Mlahso,Syrian Arab Republic,extinct,0,5
Mlahso,Turkey,extinct,0,5
Mo-peng,Sierra Leone,extinct,0,5
Mochica,Peru,extinct,0,5
Moksela,Indonesia,extinct,0,5
Molala,United States of America,extinct,0,5
Mozarabic,Spain,extinct,0,5
Mulaha,Papua New Guinea,extinct,0,5
Múra,Brazil,extinct,0,5
Nagumi,Cameroon,extinct,0,5
Naka'ela,Indonesia,extinct,0,5
Napore,Uganda,extinct,0,5
Natchez,United States of America,extinct,0,5
New River Shasta,United States of America,extinct,0,5
Ngarla,Australia,extinct,0,5
Ngong,Cameroon,extinct,0,5
Nila,Indonesia,extinct,0,5
Nisenan,United States of America,extinct,0,5
Nooksack,United States of America,extinct,0,5
Norn,United Kingdom of Great Britain and Northern Ireland,extinct,0,5
Northeastern Pomo,United States of America,extinct,0,5
Nukiní,Brazil,extinct,0,5
Nupbikha,Bhutan,vulnerable,0,1
Nyang'i,Uganda,extinct,0,5
Obispeño,United States of America,extinct,0,5
Odut,Nigeria,extinct,0,5
Old Prussian,Russian Federation,extinct,0,5
Old Sirenik,Russian Federation,extinct,0,5
Omagua,Brazil,critically endangered,0,4
Ona,Argentina,extinct,0,5
Ongkor Solon,China,extinct,0,5
Opon-Carare,Colombia,extinct,0,5
Orang Kanaq,Malaysia,extinct,0,5
Palumata,Indonesia,extinct,0,5
Panobo,Peru,extinct,0,5
Papora,China,extinct,0,5
Pentlatch,Canada,extinct,0,5
Phalok,Thailand,extinct,0,5
Pijao,Colombia,extinct,0,5
Piru,Indonesia,extinct,0,5
Polabian,Germany,extinct,0,5
Pumpokol,Russian Federation,extinct,0,5
Purisimeño,United States of America,extinct,0,5
Pyu,Myanmar,extinct,0,5
Quapaw,United States of America,extinct,0,5
Quileute,United States of America,extinct,0,5
Qwarenya,Ethiopia,extinct,0,5
Rangkas,India,extinct,0,5
Sanhaja of Srair,Morocco,critically endangered,0,4
Sei,Sierra Leone,extinct,0,5
Sened,Tunisia,extinct,0,5
Sengmai,India,extinct,0,5
Serrano,United States of America,extinct,0,5
Seru,Malaysia,extinct,0,5
Seward Peninsula Inupiaq,Russian Federation,extinct,0,5
Singa,Uganda,extinct,0,5
Siraiya,China,extinct,0,5
Sishee,New Caledonia (France),extinct,0,5
Siuslaw,United States of America,extinct,0,5
Slovincian,Poland,extinct,0,5
Southeastern Pomo,United States of America,extinct,0,5
Southern Kamchadal,Russian Federation,extinct,0,5
Southern Khanty,Russian Federation,extinct,0,5
Southern Mansi,Russian Federation,extinct,0,5
Soyot,Russian Federation,extinct,0,5
Subtiaba,Nicaragua,extinct,0,5
Taman,Myanmar,extinct,0,5
Tandia,Indonesia,extinct,0,5
Taokas,China,extinct,0,5
Te'un,Indonesia,extinct,0,5
Tetete,Ecuador,extinct,0,5
Tillamook,United States of America,extinct,0,5
Togoyo,Sudan,extinct,0,5
Tonjon,Côte d'Ivoire,extinct,0,5
Torá,Brazil,extinct,0,5
Tsetsaut,Canada,extinct,0,5
Tunica,United States of America,extinct,0,5
Tututni,United States of America,extinct,0,5
Twana,United States of America,extinct,0,5
Ubykh,Russian Federation,extinct,0,5
Ubykh,Turkey,extinct,0,5
Umutina,Brazil,extinct,0,5
Upper Chehalis,United States of America,extinct,0,5
Upper Umpqua,United States of America,extinct,0,5
Uruava,Papua New Guinea,extinct,0,5
Urupá,Brazil,extinct,0,5
Ventureño,United States of America,extinct,0,5
Vilela,Argentina,extinct,0,5
Wanai,Venezuela (Bolivarian Republic of),critically endangered,0,4
Wangkumara,Australia,critically endangered,0,4
Wappo,United States of America,extinct,0,5
Western Mansi,Russian Federation,extinct,0,5
Wiyot,United States of America,extinct,0,5
Xakriabá,Brazil,extinct,0,5
Yaaku,Kenya,extinct,0,5
Yameo,Peru,extinct,0,5
Yir Yoront,Australia,extinct,0,5
Yoba,Papua New Guinea,extinct,0,5
Yola,Ireland,extinct,0,5
Yug,Russian Federation,extinct,0,5
Yuki,United States of America,extinct,0,5
Yurats,Russian Federation,extinct,0,5
Yurutí,Brazil,extinct,0,5
Zeem,Nigeria,extinct,0,5
|'Auni,South Africa,extinct,0,5
|Xam,South Africa,extinct,0,5
ǁKu ǁ'e,South Africa,extinct,0,5
ǁKx'au,South Africa,extinct,0,5
ǁXegwi,South Africa,extinct,0,5
A'tong,India,severely endangered,1000,3
Aché,Paraguay,definitely endangered,1000,2
Akie,United Republic of Tanzania,critically endangered,1000,4
Akuriyo,Suriname,critically endangered,1000,4
Alemannic,"Germany, Austria, France, Italy, Liechtenstein, Switzerland",vulnerable,1000,1
Amami,Japan,definitely endangered,1000,2
Amok,"China, Lao People's Democratic Republic, Myanmar, Thailand",critically endangered,1000,4
Angku,Myanmar,critically endangered,1000,4
Auvergnat,France,severely endangered,1000,3
Balti,"India, Pakistan",vulnerable,1000,1
Baraba Tatar,Russian Federation,severely endangered,1000,3
Baré,Venezuela (Bolivarian Republic of),critically endangered,1000,4
Bavarian,"Germany, Austria, Hungary, Italy, Switzerland, Czech Republic",vulnerable,1000,1
Bay Islands Creole,Honduras,critically endangered,1000,4
Bellari,India,critically endangered,1000,4
Berbice Dutch Creole,Guyana,critically endangered,1000,4
Bhalesi,India,definitely endangered,1000,2
Brao,"Cambodia, Lao People's Democratic Republic, Viet Nam",severely endangered,1000,3
Bungee,Canada,critically endangered,1000,4
Burgundian,France,severely endangered,1000,3
Cabiyarí,Colombia,critically endangered,1000,4
Cappadocian Greek,Greece,critically endangered,1000,4
Carabayo,Colombia,extinct,1000,5
Cavineña,Bolivia (Plurinational State of),definitely endangered,1000,2
Cayuga,Canada,critically endangered,1000,4
Central Asian Arabic,"Uzbekistan, Tajikistan, Afghanistan",definitely endangered,1000,2
Champenois,"Belgium, France",severely endangered,1000,3
Chichimec,Mexico,vulnerable,1000,1
Chinook Jargon,United States of America,critically endangered,1000,4
Chiwere,United States of America,extinct,1000,5
Chuang,Cambodia,critically endangered,1000,4
Corfiot Italkian,Greece,critically endangered,1000,4
Cornish,United Kingdom of Great Britain and Northern Ireland,critically endangered,1000,4
Crimean Turkish,Ukraine,severely endangered,1000,3
Desano,Colombia,definitely endangered,1000,2
Domari,"Egypt, Israel, Jordan, Lebanon, Libyan Arab Jamahiriya, Palestine, Syrian Arab Republic",severely endangered,1000,3
East Franconian,"Germany, Czech Republic",vulnerable,1000,1
Eastern Mansi,Russian Federation,critically endangered,1000,4
En,Myanmar,critically endangered,1000,4
Even,Russian Federation,severely endangered,1000,3
Even,Russian Federation,severely endangered,1000,3
Evenki,Russian Federation,severely endangered,1000,3
Evenki,Russian Federation,severely endangered,1000,3
Evenki,"Mongolia, Russian Federation",severely endangered,1000,3
Figuig,Morocco,vulnerable,1000,1
Franc-Comtois,"France, Switzerland",severely endangered,1000,3
Gagauz,Bulgaria,critically endangered,1000,4
Gagauz,"Greece, The former Yugoslav Republic of Macedonia, Turkey",severely endangered,1000,3
Gangou,China,severely endangered,1000,3
Gottscheerish,Slovenia,critically endangered,1000,4
Guaná,Paraguay,critically endangered,1000,4
Han,Canada,critically endangered,1000,4
Homshetsma,"Georgia, Russian Federation",severely endangered,1000,3
Homshetsma,Turkey,definitely endangered,1000,2
Hulaula,Iran (Islamic Republic of),extinct,1000,5
Huron-Wyandot,Canada,critically endangered,1000,4
Jad,"India, Pakistan",definitely endangered,1000,2
Jahai,Malaysia,critically endangered,1000,4
Javindo Creole,Indonesia,critically endangered,1000,4
Jeju,Republic of Korea,critically endangered,1000,4
Jitnu,Colombia,definitely endangered,1000,2
Judezmo,"Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Croatia, Greece, The former Yugoslav Republic of Macedonia, Morocco, Romania, Turkey, Serbia",severely endangered,1000,3
Juhur,Israel,definitely endangered,1000,2
Kaurna,Australia,critically endangered,1000,4
Kensiw,Malaysia,critically endangered,1000,4
Kentak,Malaysia,critically endangered,1000,4
Khasali,India,definitely endangered,1000,2
Kili,Russian Federation,severely endangered,1000,3
Koro,India,definitely endangered,1000,2
Kraol,Cambodia,critically endangered,1000,4
Kravet,Cambodia,critically endangered,1000,4
Krueng,Cambodia,severely endangered,1000,3
Kuay,Cambodia,severely endangered,1000,3
Kunigami,Japan,definitely endangered,1000,2
Lakota,Canada,critically endangered,1000,4
Langrong,India,critically endangered,1000,4
Lengua,Paraguay,severely endangered,1000,3
Livonian,Latvia,critically endangered,1000,4
Lorrain,"Belgium, France",severely endangered,1000,3
Lua,Thailand,definitely endangered,1000,2
Macaguaje,Colombia,extinct,1000,5
Macuna,Colombia,definitely endangered,1000,2
Maká,Paraguay,definitely endangered,1000,2
Manda,India,critically endangered,1000,4
Manx,United Kingdom of Great Britain and Northern Ireland,critically endangered,1000,4
Mawayana,Guyana,critically endangered,1000,4
Menri',Malaysia,critically endangered,1000,4
Michif,Canada,critically endangered,1000,4
Miraña,Colombia,severely endangered,1000,3
Miyako,Japan,definitely endangered,1000,2
Mohawk,United States of America,definitely endangered,1000,2
Mohawk,Canada,definitely endangered,1000,2
Mohawk,United States of America,definitely endangered,1000,2
Mohawk,Canada,definitely endangered,1000,2
Mohawk,Canada,definitely endangered,1000,2
Mohawk,Canada,definitely endangered,1000,2
Mohawk,Canada,definitely endangered,1000,2
Mok,Lao People's Democratic Republic,definitely endangered,1000,2
Mosquitia Creole,Nicaragua,definitely endangered,1000,2
Muinane,Colombia,definitely endangered,1000,2
Munsee,United States of America,critically endangered,1000,4
Nivaclé,Paraguay,vulnerable,1000,1
Nivkh,Russian Federation,critically endangered,1000,4
Nogay,Ukraine,severely endangered,1000,3
Nogay,Romania,severely endangered,1000,3
Nonuya,Colombia,critically endangered,1000,4
Norman,France,severely endangered,1000,3
Northern Altay,Russian Federation,severely endangered,1000,3
Northern Haida,"Canada, United States of America",critically endangered,1000,4
Northwestern Otomí,Mexico,vulnerable,1000,1
Nukak,Colombia,definitely endangered,1000,2
Okinawan,Japan,definitely endangered,1000,2
Oneida,"Canada, United States of America",critically endangered,1000,4
Onondaga,"Canada, United States of America",critically endangered,1000,4
Padri,India,vulnerable,1000,1
Palaung,Myanmar,severely endangered,1000,3
Pale,Myanmar,severely endangered,1000,3
Panamanian Creole,Panama,definitely endangered,1000,2
Pashayi,Afghanistan,vulnerable,1000,1
Peco' Creole,Indonesia,critically endangered,1000,4
Phnong,Cambodia,severely endangered,1000,3
Poitevin-Saintongeais,France,severely endangered,1000,3
Potawatomi,Canada,critically endangered,1000,4
Purik,"India, Pakistan",vulnerable,1000,1
Quinault,United States of America,extinct,1000,5
Rama Cay Creole,Nicaragua,definitely endangered,1000,2
Reyesano,Bolivia (Plurinational State of),critically endangered,1000,4
Rhenish Franconian,"Germany, France",vulnerable,1000,1
Riang,Myanmar,critically endangered,1000,4
Rigolet Inuktitut,Canada,critically endangered,1000,4
Rumai,Myanmar,severely endangered,1000,3
Samrai,Cambodia,critically endangered,1000,4
San Andres Creole,Colombia,vulnerable,1000,1
Sanapaná,Paraguay,definitely endangered,1000,2
Scanian,"Denmark, Sweden",vulnerable,1000,1
Seneca,Canada,critically endangered,1000,4
Siberian Tatar,Russian Federation,definitely endangered,1000,2
Sikïiyana,Suriname,critically endangered,1000,4
Siriano,Colombia,definitely endangered,1000,2
So-ng,Cambodia,critically endangered,1000,4
Sogoo,Kenya,extinct,1000,5
South Jutish,"Germany, Denmark",definitely endangered,1000,2
Southern Paiute,United States of America,severely endangered,1000,3
Spiti,"India, Pakistan",vulnerable,1000,1
Squamish,Canada,critically endangered,1000,4
Stieng,Cambodia,severely endangered,1000,3
Tacana,Bolivia (Plurinational State of),definitely endangered,1000,2
Tagish,Canada,critically endangered,1000,4
Tailoi,Myanmar,critically endangered,1000,4
Tanimuca-Letuama,Colombia,severely endangered,1000,3
Tapieté,"Argentina, Bolivia (Plurinational State of), Paraguay",severely endangered,1000,3
Tariana,Colombia,critically endangered,1000,4
Taruma,Guyana,critically endangered,1000,4
Tasnusit,Algeria,severely endangered,1000,3
Tat,Azerbaijan,severely endangered,1000,3
Tati,Iran (Islamic Republic of),definitely endangered,1000,2
Tatuyo,Colombia,definitely endangered,1000,2
Tazy,Russian Federation,severely endangered,1000,3
Tempuan,Cambodia,severely endangered,1000,3
Toba-Maskoy,Paraguay,severely endangered,1000,3
Tolcha,India,extinct,1000,5
Touggourt Tamazight,Algeria,severely endangered,1000,3
Tucano,Colombia,vulnerable,1000,1
Tunisian Judeo-Arabic,Israel,severely endangered,1000,3
Tuscarora,Canada,critically endangered,1000,4
Tuyuca,Colombia,definitely endangered,1000,2
Udi,Georgia,severely endangered,1000,3
Unami,United States of America,extinct,1000,5
Upper Tanana,Canada,critically endangered,1000,4
Urum,"Georgia, Russian Federation, Ukraine",definitely endangered,1000,2
Wa,Myanmar,severely endangered,1000,3
Wanano / Kotiria,Colombia,definitely endangered,1000,2
Western Abenaki,Canada,critically endangered,1000,4
Western Abenaki,United States of America,extinct,1000,5
Wichi,"Argentina, Bolivia (Plurinational State of)",vulnerable,1000,1
Yaeyama,Japan,severely endangered,1000,3
Yazva Komi,Russian Federation,severely endangered,1000,3
Yiddish,"Germany, Austria, Belarus, Belgium, Denmark, Estonia, Finland, France, Hungary, Italy, Latvia, Lithuania, Luxembourg, Republic of Moldova, Norway, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Sweden, Switzerland, Czech Republic, Ukraine",definitely endangered,1000,2
Yonaguni,Japan,severely endangered,1000,3
Yucuna,Colombia,definitely endangered,1000,2
Yurutí,Colombia,definitely endangered,1000,2
Zangskari,"India, Pakistan",definitely endangered,1000,2
Zidgali,Oman,critically endangered,1000,4
